MULakeNumber,waterBody,Latitude_waterBody,Longitude_waterBody,Hylak_id,ecoregionID,EPA_L3NAME,waterbody_elevation,waterbody_area_km2,waterbody_perimeter_km,waterbody_elongation_ratio,watershed_area_km2,watershed_perimeter_km,watershed_elongation_ratio,landCover
188,Big_Oak,36.64,-89.29,NA,4,Mississippi Alluvial Plain,92,0.205857308,1.611742524,0.9927,0.865605192,4.007980049,0.7628,wetland
189,Butler_City,38.28,-94.43,1057959,1,Central Irregular Plains,240,0.359936664,4.433064216,0.4104,13.18138614,24.80081692,0.6028,agriculture
190,Charity,40.48,-95.58,NA,6,Western Corn Belt Plains,284,0.065475118,3.353274341,0.2347,7.875389262,17.2255095,0.6091,forest
191,Indian_Creek,39.9,-93.7,1056123,1,Central Irregular Plains,239,1.369274786,13.90692846,0.4314,21.0750925,33.43293985,0.8103,mixed
192,Jo_Shelby,39.72,-93.32,NA,1,Central Irregular Plains,215,0.193816154,3.971151883,0.4762,2.079163227,8.262063687,0.7304,agriculture
193,Busch_37,38.71,-90.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
194,Lawson_City,39.45,-94.2,NA,1,Central Irregular Plains,311,0.076933488,1.951152395,0.7395,0.967743626,5.661811958,0.6563,agriculture
195,Limpp,40.06,-94.54,NA,1,Central Irregular Plains,309,0.188558803,2.654867597,0.5256,5.974208035,11.96012883,0.8076,agriculture
196,Lone_Jack,38.89,-94.19,NA,1,Central Irregular Plains,283,0.209813985,3.655629475,0.5402,3.626371835,9.458383858,0.795,agriculture
197,Prairie,38.71,-90.69,NA,2,Interior River Valleys and Hills,165,0.148936221,2.344111933,0.5713,2.266114361,8.384491925,0.77,forest
198,Ray_County,39.31,-93.99,NA,1,Central Irregular Plains,226,0.154962256,2.822440865,0.6151,2.63504925,9.293938506,0.6315,agriculture
199,Rothwell,39.42,-92.46,NA,1,Central Irregular Plains,247,0.168781848,4.893952019,0.3779,4.702209564,12.34760303,0.7226,urban
200,Savannah_City,39.95,-94.86,NA,6,Western Corn Belt Plains,311,0.129608443,2.126407413,0.6432,4.064033981,10.39079085,0.8086,agriculture
201,Upper_Big,36.95,-89.36,1059445,4,Mississippi Alluvial Plain,67,0.633034637,4.381057758,0.4556,78.15429558,72.24413964,0.5151,agriculture
202,Whiteside,39.17,-91.01,NA,2,Interior River Valleys and Hills,225,0.152482281,2.91491777,0.534,2.045107086,8.366142752,0.7158,mixed
203,Willow_Brook,39.87,-94.38,NA,1,Central Irregular Plains,268,1.032602524,10.6475172,0.3797,19.53251058,28.79000603,0.7333,agriculture
204,Worth_County,40.4,-94.52,NA,1,Central Irregular Plains,318,0.117345117,2.436746567,0.4732,1.752997465,7.832567598,0.5731,agriculture
211,Cameron_Sunrise,39.76,-94.26,1056296,1,Central Irregular Plains,278,0.217264557,3.17163827,0.4888,7.867644987,14.95372073,0.732,urban
212,Grindstone,39.77,-94.29,NA,1,Central Irregular Plains,260,1.435871544,9.562165509,0.57,92.2215915,53.46314749,0.8389,agriculture
213,Cameron_Eagle,39.77,-94.27,1056285,1,Central Irregular Plains,268,0.63185262,6.511175489,0.4095,7.724126082,17.12128875,0.7409,agriculture
214,Bennitt,39.24,-92.46,NA,2,Interior River Valleys and Hills,234,0.317989976,5.817910492,0.5268,4.356198774,11.29278414,0.7132,forest
215,White,39.33,-91.86,NA,1,Central Irregular Plains,222,0.069023899,1.455113752,0.5997,0.845435436,4.624696795,0.6843,agriculture
216,Big_Whetstone,38.97,-91.73,NA,2,Interior River Valleys and Hills,232,0.161338608,3.758218554,0.5291,1.41057927,9.457643845,0.6433,mixed
217,Windy_Whetstone,38.96,-91.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
218,Bucklin_City,39.77,-92.88,NA,1,Central Irregular Plains,257,0.120326635,1.851839095,0.5861,1.970449609,7.925692121,0.7597,agriculture
219,Dairy_1,38.99,-92.49,NA,2,Interior River Valleys and Hills,235,0.093105823,1.703614416,0.6223,1.157513663,6.10220336,0.7092,agriculture
220,Dairy_3,38.99,-92.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
221,Edina_Section_7,40.18,-92.16,NA,1,Central Irregular Plains,229,0.065941237,1.570116227,0.4481,0.293606681,3.495113666,0.7777,mixed
222,Ewing,40.02,-91.72,1056005,1,Central Irregular Plains,174,0.260847496,4.760783733,0.4389,4.955438684,14.9882334,0.5997,mixed
223,Greenly_Farms,40.02,-92.19,NA,1,Central Irregular Plains,239,0.118760057,2.262919724,0.4349,1.760661401,7.302998443,0.6968,agriculture
224,Happy_Holler,40.03,-94.73,NA,6,Western Corn Belt Plains,282,0.46706001,8.213280178,0.5203,15.4722676,23.3988514,0.6319,agriculture
225,Higbee_Railroad,39.31,-92.52,NA,1,Central Irregular Plains,265,0.11000308,2.415485037,0.6308,0.911971143,4.307337317,0.7642,mixed
226,Higbee_City,39.31,-92.5,NA,1,Central Irregular Plains,249,0.089890151,1.940376828,0.5698,4.259690927,11.66901696,0.7738,mixed
227,Horseshoe,38.94,-91.72,NA,1,Central Irregular Plains,241,0.029933725,0.840664665,0.7945,0.232407424,3.811722384,0.6379,mixed
228,Jamesport_Community,40,-93.84,NA,1,Central Irregular Plains,245,0.183567143,2.211950031,0.6968,2.168216285,7.812668339,0.6559,agriculture
229,King_City_West,40.06,-94.51,NA,1,Central Irregular Plains,312,0.059597119,1.518569672,0.6498,1.148642548,5.406777538,0.7033,agriculture
230,King_City_East,40.06,-94.51,NA,1,Central Irregular Plains,309,0.168612702,2.276258761,0.5901,2.550545429,11.59849054,0.5734,agriculture
231,LaPlata_West,40.02,-92.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
232,Lick_Creek,39.15,-92.38,NA,1,Central Irregular Plains,226,0.071961909,1.65653146,0.5315,1.664536797,6.981916025,0.7282,forest
233,Linneus,39.89,-93.2,NA,1,Central Irregular Plains,228,0.11512703,2.094319304,0.5509,3.690065812,10.92548379,0.7244,agriculture
234,Malta_Bend,39.18,-93.39,NA,6,Western Corn Belt Plains,222,0.02336079,0.683970421,0.6075,0.088095932,1.282460764,0.768,mixed
235,Redman,39.87,-94.37,NA,1,Central Irregular Plains,273,0.084008312,2.540842683,0.7012,0.735967366,4.865895481,0.7176,agriculture
236,McCredie,38.95,-91.91,NA,1,Central Irregular Plains,249,0.064505023,1.332355494,0.6436,1.047224462,6.312649819,0.6512,agriculture
237,Milan_North,40.2,-93.1,NA,1,Central Irregular Plains,259,0.099604362,1.655908402,0.5895,6.164439083,13.96479618,0.6523,agriculture
238,Monroe_Route_J,39.61,-91.67,1056486,2,Interior River Valleys and Hills,196,0.637240818,8.908023792,0.3269,33.04996248,39.74992262,0.6567,agriculture
239,LaBelle_City_West,40.09,-91.91,NA,1,Central Irregular Plains,202,0.127663642,2.116991487,0.5653,1.016433424,5.377024622,0.6661,agriculture
240,North_Whetstone,38.98,-91.73,NA,2,Interior River Valleys and Hills,229,0.048017648,1.112175898,0.6093,0.409603539,4.427560494,0.885,mixed
241,Phillips,38.9,-92.29,1057344,1,Central Irregular Plains,226,0.273858938,3.034849284,0.5383,2.449591049,9.55449583,0.6162,mixed
242,Pike,39.95,-93.67,NA,1,Central Irregular Plains,243,0.118398619,2.487110787,0.4929,1.874525351,8.607057143,0.5541,forest
243,Pin_Oak,37.44,-94.57,NA,1,Central Irregular Plains,286,0.054248387,1.454806593,0.5786,1.648164182,6.759699395,0.685,agriculture
244,Pine_Ridge,39.4,-92.8,NA,1,Central Irregular Plains,192,0.172651145,3.671721139,0.4991,2.47569552,8.894969475,0.7544,agriculture
245,Poosey_17,39.92,-93.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
246,Poosey_18,39.93,-93.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
247,Poosey_20,39.93,-93.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
248,Johnson,38.78,-92.6,NA,3,Ozark Highlands,243,0.090462442,1.414199172,0.72,0.739625032,7.6235520470000004,0.9497,forest
249,Reform_1,38.76,-91.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
250,Santa_Fe,40.04,-92.48,NA,1,Central Irregular Plains,267,0.202077678,3.604771277,0.6486,1.944329811,7.958578926,0.7365,agriculture
251,Sears_Community,40.26,-93.08,NA,1,Central Irregular Plains,273,0.223237772,4.558041626,0.4492,1.437373744,6.603055854,0.7034,forest
252,South_Farm,38.9,-92.28,NA,1,Central Irregular Plains,239,0.050902734,0.999587792,0.6506,0.934692935,5.449089978,0.724,agriculture
253,Tobacco_Hill,39.42,-94.8,NA,6,Western Corn Belt Plains,271,0.105395934,2.132182994,0.572,0.924601082,5.370220623,0.7548,mixed
254,Walter,39.07,-91.63,NA,2,Interior River Valleys and Hills,235,0.038147513,1.00684569,0.514,0.897756223,4.615924102,0.8183,forest
255,Watershed,40.3,-91.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
256,Wellsville_City,39.04,-91.58,NA,2,Interior River Valleys and Hills,218,0.084376251,1.913070298,0.5696,1.152186484,6.048017557,0.6621,agriculture
257,Whitesell,39.07,-91.63,NA,2,Interior River Valleys and Hills,237,0.042715048,1.251065069,0.5046,0.709395695,4.616121592,0.6283,forest
258,Winegar,38.48,-92.4,NA,2,Interior River Valleys and Hills,206,0.054648917,1.197731245,0.5403,0.741295949,4.991223309,0.6873,forest
260,Busch_16,38.71,-90.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
261,Adrian_City,38.39,-94.34,1057854,1,Central Irregular Plains,254,0.327448655,4.975023939,0.5664,3.44696793,13.05640389,0.5914,agriculture
263,Brays,37.89,-91.78,1058496,3,Ozark Highlands,270,0.644091871,6.016341649,0.5759,5.027530559,12.05016121,0.6748,forest
264,Drexel_City,38.47,-94.61,NA,1,Central Irregular Plains,297,0.137442026,2.499552143,0.4422,19.48657964,27.78965333,0.6827,agriculture
265,Drexel_Reservoir,38.46,-94.61,1057743,1,Central Irregular Plains,294,0.283719004,3.414302352,0.5619,3.785459775,11.62622856,0.7459,agriculture
266,Garden_City,38.52,-94.17,1057680,1,Central Irregular Plains,259,0.267594047,3.566480956,0.4625,7.293843209,17.69239758,0.6556,agriculture
267,Niangua,37.94,-92.85,1058456,3,Ozark Highlands,210,1.671995237,17.65921769,0.3993,2444.555539,441.5173481,0.6481,forest
268,Nims,37.64,-90.33,1058764,3,Ozark Highlands,250,1.624345265,15.30500409,0.3243,21.13424051,33.33980188,0.4907,forest
269,Shepherd_Mountain,37.59,-90.66,NA,3,Ozark Highlands,290,0.148117782,2.661032141,0.4663,13.36798461,26.36180331,0.5777,forest
270,Vandalia,39.38,-91.41,NA,2,Interior River Valleys and Hills,206,0.186612763,5.104796268,0.3429,24.73049211,30.46194572,0.6935,agriculture
271,Palmer,37.82,-90.92,1058556,3,Ozark Highlands,335,0.660083791,7.538002108,0.541,6.170183841,14.11197431,0.8006,forest
272,Perry,39.42,-91.67,1056684,2,Interior River Valleys and Hills,198,0.124310299,1.504848487,0.7299,12.75989571,23.2339271,0.7345,agriculture
273,Odessa_Upper,38.97,-93.98,NA,1,Central Irregular Plains,241,0.145404822,2.931499123,0.5217,10.40425496,20.46610769,0.6827,agriculture
274,Alpine,38.75,-91.08,1057467,2,Interior River Valleys and Hills,177,1.55043065,15.35765182,0.5179,4.899736175,11.96144344,0.7078,forest
275,Ascencio,39.34,-94.86,NA,6,Western Corn Belt Plains,271,0.007938596,0.547064234,0.4399,0.956990909,4.679855329,0.7553,agriculture
276,Ashland,38.76,-92.21,NA,2,Interior River Valleys and Hills,217,0.094341961,2.454030884,0.3668,15.95121303,32.79330795,0.4156,agriculture
277,Aspen,38.76,-91.04,1057480,2,Interior River Valleys and Hills,195,0.879162855,8.37086271,0.4727,22.30803721,36.52832325,0.7442,forest
278,Aspenetter,38.76,-91.03,NA,1,Central Irregular Plains,196,0.050400449,1.234986215,0.5877,1.615749337,7.983484815,0.6261,mixed
279,Autumn,38.21,-92.71,NA,3,Ozark Highlands,201,0.026755891,0.842142338,0.5314,0.449001648,3.423665108,0.6522,forest
280,Sherwood_Big_Lake,38.66,-90.99,1057560,2,Interior River Valleys and Hills,167,1.129085528,18.26861714,0.5071,18.9699248,24.33586232,0.7917,forest
281,Buteo,38.75,-93.58,NA,1,Central Irregular Plains,237,0.046245919,1.445002135,0.4269,2.241447464,8.387853237,0.6916,urban
282,Cardinal,38.76,-91.01,NA,1,Central Irregular Plains,222,0.022934095,1.014429418,0.3701,2.71342024,8.717865175,0.8031,agriculture
283,Castlenovo,38.77,-91.05,NA,2,Interior River Valleys and Hills,204,0.03786303,1.417705454,0.4535,0.773427199,4.384171579,0.6947,forest
284,Charrette,38.77,-91.02,NA,1,Central Irregular Plains,226,0.079349106,1.428518439,0.7018,1.348139359,5.518966061,0.7362,mixed
285,Clearfork,38.75,-93.6,NA,1,Central Irregular Plains,231,0.098627461,2.424128642,0.5163,1.081386101,6.142055544,0.6597,forest
286,Crystal,39.36,-94.19,1056766,1,Central Irregular Plains,254,0.664974588,7.375975942,0.3876,60.86802929,61.53497505,0.6081,agriculture
287,Doniphan_Lower,38.32,-94.2,NA,1,Central Irregular Plains,254,0.664974588,7.375975942,0.3876,60.86802929,61.53497505,0.6081,agriculture
288,Doniphan_Upper,39.33,-94.2,NA,1,Central Irregular Plains,267,0.043101685,1.029601276,0.5542,2.158393773,7.580325884,0.6785,mixed
289,Eleanor,38.67,-90.97,NA,2,Interior River Valleys and Hills,167,1.129085528,18.26861714,0.5071,18.9699248,24.33586232,0.7917,forest
290,Eureka,38.52,-90.64,NA,3,Ozark Highlands,150,0.007328616,0.35314155,0.6992,0.059101997,1.378172754,0.5883,forest
291,Foxtail,38.77,-91.02,NA,1,Central Irregular Plains,230,0.019891169,0.756470058,0.5393,0.277625511,2.935614004,0.6967,forest
292,Good_Oak,38.2,-92.72,NA,3,Ozark Highlands,205,0.106838494,1.972016532,0.564,1.261776849,5.669600407,0.7069,forest
293,Innsbrook,38.77,-91.05,1057463,2,Interior River Valleys and Hills,199,0.245495023,5.037283971,0.3883,6.560706261,19.15495639,0.5628,forest
294,January_Wabash,38.75,-90.31,NA,2,Interior River Valleys and Hills,166,0.026212535,0.758820702,0.6175,0.585878063,4.124202079,0.6456,urban
295,Jennings,38.74,-90.26,NA,2,Interior River Valleys and Hills,137,0.033522248,1.082430395,0.787,0.451422412,3.999844875,0.6283,urban
296,Konstanz,38.76,-91.07,NA,2,Interior River Valleys and Hills,224,0.096333931,1.712378135,0.5307,0.496622361,3.149789768,0.824,forest
297,Lake_of_the_Woods,39,-94.52,NA,1,Central Irregular Plains,244,0.046144794,1.341383681,0.5164,5.292703065,12.99108504,0.6436,urban
298,Ste_Louise,38.8,-90.79,1057440,2,Interior River Valleys and Hills,153,0.476783948,5.616907576,0.4355,4.129694826,14.35303607,0.5754,urban
299,Lakeview,39.15,-91.89,1057023,1,Central Irregular Plains,241,0.163566305,2.206302541,0.5145,2.64111633,10.82450595,0.5588,mixed
300,Lucern,38.78,-91.06,NA,2,Interior River Valleys and Hills,201,0.284955692,3.946875898,0.4831,2.141517281,10.93087985,0.7207,forest
301,Penn_Valley,39.08,-94.59,NA,1,Central Irregular Plains,255,0.008920918,0.45006046,0.5333,0.026269445,0.817718485,0.5666,urban
302,Red_Fox,38.77,-91.03,NA,1,Central Irregular Plains,221,0.006695282,0.386096448,0.6315,0.720340961,5.506273444,0.6815,forest
304,Robin_Hood,38.67,-90.99,NA,2,Interior River Valleys and Hills,167,1.129085528,18.26861714,0.5071,18.9699248,24.33586232,0.7917,forest
305,Scheffborg,38.79,-91.06,NA,2,Interior River Valleys and Hills,215,0.080047745,1.565505235,0.523,7.83883832,18.05942884,0.606,forest
306,Simpson,38.56,-90.46,1057651,3,Ozark Highlands,82,0.421918811,3.86022385,0.6187,1266.098221,479.6894078,0.6928,forest
307,St_Gallen,38.75,-91.03,NA,1,Central Irregular Plains,227,0.168686967,3.308081248,0.3999,3.543547963,10.44260603,0.6842,forest
308,Stephens,38.95,-92.31,NA,2,Interior River Valleys and Hills,205,0.03639986,0.796308029,0.7465,0.176658456,2.555924019,0.6036,urban
309,Sugar_Hollow,38.67,-90.98,NA,2,Interior River Valleys and Hills,167,1.129085528,18.26861714,0.5071,18.9699248,24.33586232,0.7917,forest
310,Treeline,38.19,-92.74,1058076,3,Ozark Highlands,197,0.194210823,3.096308048,0.5649,1.769154335,7.018963892,0.7246,forest
311,Troost,39.08,-94.56,NA,1,Central Irregular Plains,279,0.01457333,0.670178832,0.4815,0.555834917,3.825166941,0.6947,urban
312,Trophy,38.77,-91.03,NA,1,Central Irregular Plains,226,0.003987445,0.344915631,0.4622,0.077265846,1.694021334,0.5197,forest
313,Wanderfern,38.77,-91.07,NA,2,Interior River Valleys and Hills,195,0.266574323,4.058070337,0.4336,11.1721903,21.38726233,0.5548,forest
314,Waterworks,39.42,-92.46,NA,1,Central Irregular Plains,252,0.13711203,4.512957324,0.4526,2.568914805,9.400087986,0.7025,mixed
315,Whippoorwill,38.77,-91.03,NA,1,Central Irregular Plains,211,0.029299059,0.934138528,0.4977,0.742623289,4.467066221,0.703,forest
316,Wood,39,-92.22,NA,1,Central Irregular Plains,264,0.095095397,2.029536509,0.5539,3.161457635,11.21471508,0.6185,agriculture
317,Buffalo_Bill,39.82,-94.38,1056231,1,Central Irregular Plains,289,0.298741581,4.250992481,0.4445,8.559877014,17.10105755,0.7442,agriculture
320,Quarry_Heights,38.94,-92.34,NA,2,Interior River Valleys and Hills,199,0.002737193,0.273890049,0.4965,11.12110906,18.15697716,0.7697,urban
322,Whitecliff,38.56,-90.37,NA,2,Interior River Valleys and Hills,160,0.003939329,0.303166526,0.5392,0.246017148,3.541457986,0.4949,urban
323,Wyandote,39.17,-94.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
400,Woodrail,38.92,-92.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
402,Flat_Creek,36.66,-93.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
403,Mallard,38.7,-90.49,1057529,2,Interior River Valleys and Hills,116,0.231548508,2.949971892,0.5463,118.7531754,76.95557635,0.6639,urban
404,Novus,38.71,-90.68,NA,2,Interior River Valleys and Hills,163,0.006325851,0.330354307,0.7204,0.050110776,1.274180127,0.6275,urban
405,Pierson,39.07,-94.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
406,Riss,39.2,-94.68,1056965,6,Western Corn Belt Plains,243,0.873962613,9.757056597,0.5681,9.0516470000000009,19.38740992,0.6161,urban
407,Roaring_River,36.56,-93.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
408,Big_Eleven,39.12,-94.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
409,Carondelet_Boathouse,38.56,-90.27,NA,2,Interior River Valleys and Hills,137,0.023907521,0.909063073,0.5599,0.068785094,1.981634508,0.6522,urban
410,Caswell,38.9,-92.35,NA,2,Interior River Valleys and Hills,205,0.138864577,2.671446756,0.4764,3.686796438,12.63801391,0.7026,urban
411,Cedar,38.9,-92.35,NA,2,Interior River Valleys and Hills,205,0.138864577,2.671446756,0.4764,3.686796438,12.63801391,0.7026,urban
412,Barry_Harbor,39.24,-94.6,NA,6,Western Corn Belt Plains,304,0.029387151,0.916705727,0.5866,0.266674567,3.771781194,0.7127,urban
413,Jaycee,38.56,-92.27,NA,2,Interior River Valleys and Hills,232,0.053497637,1.278827415,0.6105,0.573004585,4.800978824,0.5672,mixed
414,Crowder,40.1,-93.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
415,Ethel,39.89,-92.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
416,Leisure_Grundy_Co,40.11,-93.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
417,Middle_Fork_Water,40.29,-94.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
418,Bass,38.84,-91.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
419,Butterfly,37.79,-90.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
420,Daizy_Valley,38.47,-91.39,1057725,3,Ozark Highlands,211,0.262229857,3.815502981,0.4717,4.165770592,15.72627356,0.7275,forest
421,Leisure_Callaway_Co,38.9,-91.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
422,Lochaweeno,38.83,-91.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
423,Port_Hudson,38.47,-91.27,NA,3,Ozark Highlands,208,0.34741956,3.68059122,0.6859,4.275579931,11.88130898,0.7281,forest
424,Iron_Mountain,37.69,-90.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
425,Kellogg,37.19,-94.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
426,Potosi,37.88,-90.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
427,Primrose,37.99,-90.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
428,Sayersbrook,37.99,-90.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
429,Wahoo,38,-90.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
430,Bluestem,38.87,-94.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
431,Bodarc,38.87,-94.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
432,Harrisonville_City,38.66,-94.34,NA,1,Central Irregular Plains,281,0.197576692,3.602184657,0.5048,3.600607373,10.10918673,0.734,agriculture
433,Luna,38.66,-94.35,NA,1,Central Irregular Plains,277,0.141421605,2.493201344,0.524,1.63598802,12.46397126,0.6223,urban
434,Sever_Lake_North,40.26,-92.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
435,Hurdland_Severs,40.11,-92.29,NA,1,Central Irregular Plains,258,0.09312349,1.445608067,0.7356,2.795449011,9.687310567,0.6401,agriculture
436,Finger_Lake,39.09,-92.32,NA,1,Central Irregular Plains,212,0.298430377,9.955981469,0.3129,7.002655669,23.42893084,0.5305,mixed
437,Thunderbird_Lower,38.81,-91.81,NA,2,Interior River Valleys and Hills,193,0.112056431,2.724036576,0.3903,1.87766203,11.51618211,0.6872,forest
438,Bethel,38.9,-92.34,NA,2,Interior River Valleys and Hills,217,0.041192357,0.815045438,0.7977,0.13269318,1.695728225,0.6803,urban
439,Cheney,37.73,-97.79,NA,NA,NA,429,NA,NA,NA,NA,NA,NA,NA
440,Crow_Pond,38.89,-91.74,NA,1,Central Irregular Plains,250,0.011857584,0.470265889,0.7259,0.024844751,0.717224903,0.6953,open_water
441,Montauk,37.46,-91.68,NA,3,Ozark Highlands,295,0.003106405,0.346389913,0.4277,0.024569451,0.88113959100000006,0.5331,forest
442,Callaway_Fork,38.68,-90.85,1057546,2,Interior River Valleys and Hills,167,0.899079514,11.55182215,0.2907,55.70314021,70.30538788,0.4996,mixed
443,Spanish,38.8,-90.2,NA,2,Interior River Valleys and Hills,303,0.139254809,1.86233774,0.5969,0.758468016,5.191168719,0.6536,mixed
444,Cole,38.02,-90.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
445,Rock_Lake_Village,38.89,-94.07,NA,1,Central Irregular Plains,303,0.130911103,2.67316929,0.6087,0.758699884,5.274773321,0.6537,mixed
446,Sakatah,44.22,-93.56,NA,NA,NA,306,3.59,NA,NA,NA,NA,NA,NA
447,Black_Hawk,42.3,-95.04,NA,NA,NA,374,NA,NA,NA,NA,NA,NA,NA
450,Marion,38.37,-90.76,NA,3,Ozark Highlands,180,0.027805541,0.864655639,0.5351,0.570705987,3.984884236,0.6835,forest
451,Serene,38.41,-90.78,1057809,3,Ozark Highlands,149,0.361754411,4.023202375,0.6614,5.637080263,13.13927339,0.7083,forest
453,Lafayette_Park,38.62,-90.22,NA,2,Interior River Valleys and Hills,155,0.003100205,0.241810347,0.7619,0.003100205,0.241810347,0.7619,urban
454,Cedar_Hill_Lake_1,38.33,-90.65,NA,3,Ozark Highlands,153,0.068260911,1.665219639,0.4677,1.814783705,7.286232354,0.7288,forest
455,West_Arrowhead,39.48,-94.31,1056612,1,Central Irregular Plains,275,0.685015888,6.74484465,0.4053,34.98853631,35.87301272,0.624,agriculture
456,Timberland,37.92,-93.97,NA,1,Central Irregular Plains,243,0.025981119,0.857269154,0.6014,5.72571743,14.85927172,0.6373,agriculture
457,OFallon_Park,38.68,-90.22,NA,2,Interior River Valleys and Hills,147,0.028584728,0.748508178,0.6496,0.397560802,3.312841899,0.6913,urban
458,Crystal_Morgan,38.39,-92.95,NA,NA,NA,267,NA,NA,NA,NA,NA,NA,NA
459,Fon_du_Lac,38.49,-90.47,1057711,3,Ozark Highlands,145,0.160000213,2.273877693,0.5048,2.671439783,9.141635987,0.6814,urban
460,Houston,39.19,-94.62,NA,6,Western Corn Belt Plains,247,0.110893661,2.863769314,0.465,6.096361178,14.13083331,0.7307,urban
461,See_Tal,38.69,-91.44,NA,2,Interior River Valleys and Hills,171,0.086443633,1.584669507,0.6598,1.014237393,5.316230093,0.7239,forest
462,Tilles_Park,38.62,-90.36,NA,2,Interior River Valleys and Hills,154,0.008495836,0.396162585,0.6995,0.204658821,2.476695755,0.6551,urban
469,Lakeview_KS,39.01,-95.3,NA,NA,NA,257,NA,NA,NA,NA,NA,NA,NA
470,WestArrowhead_Howell,36.65651,-91.88801,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACT,Acton,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BAR,Barco,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHA,Chautauqua,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CRA,Crampton,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ELA,239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GL4,Green Lake 4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GRP,Great Pond,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LIR,Little Rock,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LOC,The Loch,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MHK,Mohonk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OST,Otsego,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PRL,Prairie Lake,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PRP,Prairie Pothole,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SAL,Salmon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SHL,Shelburne,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SUG,Suggs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
